order_id,order_date,ship_date,ship_mode,customer_id,sales_rep,location_id,product_id,sales,quantity,discount,profit,customer_name,segment,product_name,category,sub_category,sales_team,sales_team_manager,city,state,postal_code,region
CA-2016-152156,2016-11-08,2016-11-11,Second Class,CG-12520,Organic,"42420,Henderson",FUR-BO-10001798,261.96,2.0,0.0,41.91,Claire Gute,Consumer,Bush Somerset Collection Bookcase,Furniture,Bookcases,Organic,Organic,Henderson,Kentucky,42420.0,South
CA-2016-152156,2016-11-08,2016-11-11,Second Class,CG-12520,Organic,"42420,Henderson",FUR-CH-10000454,731.94,3.0,0.0,219.58,Claire Gute,Consumer,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Furniture,Chairs,Organic,Organic,Henderson,Kentucky,42420.0,South
CA-2016-138688,2016-06-12,2016-06-16,Second Class,DV-13045,Steve Pepple,"90036,Los Angeles",OFF-LA-10000240,14.62,2.0,0.0,6.87,Darrin Van Huff,Corporate,Self-Adhesive Address Labels for Typewriters by Universal,Office Supplies,Labels,Bravo,Tracy Banks,Los Angeles,California,90036.0,West
US-2015-108966,2015-10-11,2015-10-18,Standard Class,SO-20335,Organic,"33311,Fort Lauderdale",FUR-TA-10000577,957.58,5.0,0.45,-383.03,Sean O'Donnell,Consumer,Bretford CR4500 Series Slim Rectangular Table,Furniture,Tables,Organic,Organic,Fort Lauderdale,Florida,33311.0,South
US-2015-108966,2015-10-11,2015-10-18,Standard Class,SO-20335,Organic,"33311,Fort Lauderdale",OFF-ST-10000760,22.37,2.0,0.2,2.52,Sean O'Donnell,Consumer,Eldon Fold 'N Roll Cart System,Office Supplies,Storage,Organic,Organic,Fort Lauderdale,Florida,33311.0,South
CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Organic,"90032,Los Angeles",FUR-FU-10001487,48.86,7.0,0.0,14.17,Brosina Hoffman,Consumer,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",Furniture,Furnishings,Organic,Organic,Los Angeles,California,90032.0,West
CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Organic,"90032,Los Angeles",OFF-AR-10002833,7.28,4.0,0.0,1.97,Brosina Hoffman,Consumer,Newell 322,Office Supplies,Art,Organic,Organic,Los Angeles,California,90032.0,West
CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Organic,"90032,Los Angeles",TEC-PH-10002275,907.15,6.0,0.2,90.72,Brosina Hoffman,Consumer,Mitel 5320 IP Phone VoIP phone,Technology,Phones,Organic,Organic,Los Angeles,California,90032.0,West
CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Organic,"90032,Los Angeles",OFF-BI-10003910,18.5,3.0,0.2,5.78,Brosina Hoffman,Consumer,DXL Angle-View Binders with Locking Rings by Samsill,Office Supplies,Binders,Organic,Organic,Los Angeles,California,90032.0,West
CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Organic,"90032,Los Angeles",OFF-AP-10002892,114.9,5.0,0.0,34.47,Brosina Hoffman,Consumer,Belkin F5C206VTEL 6 Outlet Surge,Office Supplies,Appliances,Organic,Organic,Los Angeles,California,90032.0,West
CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Organic,"90032,Los Angeles",FUR-TA-10001539,1706.18,9.0,0.2,85.31,Brosina Hoffman,Consumer,Chromcraft Rectangular Conference Tables,Furniture,Tables,Organic,Organic,Los Angeles,California,90032.0,West
